question,answer
Are there appeals if awards are denied?,"Yes, IBCA has an appeals process for rejected or disputed claims."
Is medical evidence mandatory?,"Yes, documented proof of infection is mandatory for all claims."
Can partial claims be made?,"Yes, partial claims can be submitted for some awards while other elements are pending documentation."
Is there a minimum award amount?,"No formal minimum, but all awards must meet at least the published tariff for the category."
Are supplementary awards discretionary?,"Yes, supplementary awards require evidence and are considered on a case-by-case basis."
What is the role of IBCA?,"IBCA administers claims, evaluates evidence, calculates awards, and distributes compensation payments."
Can claims be backdated?,"Some financial loss awards can be backdated to the date of infection or loss of earnings."
Are interim payments automatic?,"No, interim payments must be requested and approved based on need."
What happens if documentation is incomplete?,"Incomplete documentation may delay processing or reduce the award until verified."
Can carers receive multiple awards?,"Care awards are limited to hours of verified care; multiple claims require separate evidence."
Do awards include future financial loss?,"Yes, where projected loss is documented, future financial loss may be included."
Can claims be made online?,"Yes, claims can be submitted online via the IBCA website."
Is there guidance for solicitors?,"Yes, IBCA provides detailed guidance for legal representatives."
What if the claimant is deceased before application?,"The estate or personal representative can submit the claim on behalf of the deceased."
Can awards be split among claimants?,"Yes, in multi-claimant cases, awards are distributed according to eligibility and documented losses."
Are all cases public?,"No, individual awards are confidential but summary statistics are published."
Can foreign infections be included?,"Only if the treatment or blood products were provided in the UK."
Are there limits to financial loss calculations?,"Loss calculations require documentation; excessive claims may be reviewed by IBCA."
Can interim payments exceed final award?,"No, interim payments are offset against the final award."
Do awards differ for adult vs child claimants?,"Yes, tariffs and eligibility may differ for dependents under 18."
Are multiple infections considered separately?,"Yes, each infection is evaluated and combined for total compensation."
What if an infected person recovers?,"Awards are based on documented impact and loss; recovery may reduce future care components."
Are there awards for non-infected family members?,"Yes, affected family members may claim social impact, autonomy, and dependency losses."
Can someone claim without NHS records?,"Alternative medical evidence may be considered but NHS documentation is strongly recommended."
How is the severity of infection measured?,"Severity is assessed via medical evidence, chronicity, and impact on daily life."
What if infection was undiagnosed for years?,"Claims may still be submitted if evidence proves infection and impact."
Do estates claim separately for financial and care loss?,"Yes, each component is documented and totaled according to tariffs."
Are there awards for psychological therapy?,"Therapy costs may be considered under supplementary awards if medically justified."
Are awards taxable?,"No, IBCA compensation payments are generally non-taxable."
What if the claimant moves abroad?,"Eligibility may remain if infection occurred in the UK; payments can be arranged internationally."
Can awards be appealed for miscalculation?,"Yes, IBCA allows appeal if calculation errors are demonstrated."
Is there support for legal fees?,"Legal fee reimbursement may be provided under certain conditions."
Are awards paid in installments?,"Yes, IBCA can pay in installments or lump sums."
Are awards reviewed regularly?,"Awards may be reviewed if circumstances or health condition changes."
Can interim payments be adjusted?,"Yes, based on evidence of financial hardship or urgent needs."
Are there awards for palliative care?,"Yes, palliative care costs can be included in care awards."
Can adult children of deceased claim?,"Eligibility depends on dependency or co-residence at the time of death."
Is there guidance for carers?,"Yes, IBCA provides guidance for what counts as eligible care hours."
Are awards affected by other benefits?,"Existing benefits may reduce supplementary financial loss but not core awards."
Can awards be made retroactively?,"Financial loss and care awards can sometimes be retroactive if evidence supports it."
How are disputes resolved?,"IBCA has an internal dispute and appeal process."
Can multiple applications be combined?,"Yes, IBCA can consider multiple claims for one family if documented separately."
Do claims require notarized documents?,"Not usually, but documents must be official and verifiable."
Can estates claim loss of inheritance?,"Estates may claim only if loss is directly linked to the infected blood case."
Are awards adjusted for life expectancy?,"Financial loss may be adjusted based on expected duration of impact."
Are awards publicly published?,"Individual claim details are confidential; aggregate statistics are published."
Are family members notified of claims?,"Only with consent or if required for dependent claims."
Can awards cover travel expenses?,"Travel costs related to care or medical appointments may be included."
Can awards cover accommodation costs?,"Accommodation may be included if necessary for care or treatment."
Are claims valid for transfusions abroad?,"Only if administered in the UK or NHS-affiliated institution."
Is there support for mental health services?,"Yes, mental health costs may be considered in supplementary awards."
Can claims be rejected?,"Yes, if evidence is insufficient or eligibility criteria are not met."
How are Hepatitis C chronic cases handled?,"Chronic cases are compensated based on core tariffs, health impact, and financial loss."
Can multiple family members claim for the same deceased?,"Yes, but each claim must meet eligibility criteria independently."
Do awards include loss of education opportunities?,"Education loss may be considered for dependent children under special circumstances."
Are awards calculated automatically?,"IBCA calculates awards based on evidence and published tariffs; manual review is conducted."
What if claimants disagree with the award?,"Dispute and appeal procedures are available to challenge award calculations."
Can claimants request a breakdown?,"Yes, IBCA provides a detailed breakdown of each award component."
Is there a support helpline?,"IBCA maintains a support line and email contact for guidance on claims."
